id,address,city,zip,created_at
7668569279,63 Avenue Georges Truffaut,,4020,2023-05-24
7670268382,"15 Z A Du Pavé, 50300",Marcey-les-Grèves,50300,2023-05-24
7666922226,41 Rue du 11 Novembre 1918,Maisons-Alfort,94700,2023-05-24
7667827166,Avenue de la Marne,Vannes,56000,2023-05-24
7667062978,"11TH MAIN, 8TH CROSS",,560038,2023-05-24
7666225390,399 Cité Acajou,Le Lamentin,97232,2023-05-24
7666591171,17 Avenue Raymond Poincaré,,75116,2023-05-24
7666172128,27 Rue du Louvre,,75002,2023-05-24
7665417426,8 Rue du Faubourg Poissonnière,,75010,2023-05-24
7665373130,8 Rue du Faubourg Poissonnière,,75010,2023-05-24
7666187738,71 Boulevard National,La Garenne-Colombes,92250,2023-05-24
7665565671,3 Barnhusgatan,Stockholm,111 23,2023-05-24
