id,address,city,zip,created_at
9380511943,2641 N INTERSTATE 25,THIAIS,94320,2023-12-27
9383398350,1E Rue du Baron Chouard,Monswiller,67700,2023-12-27
9379574734,4350 East US Highway 83,LE BLANC MESNIL,93150,2023-12-27
9379312834,N Pulaski Rd,CLAMART,92140,2023-12-27
9377740748,36 Avenue du Château,Saint-Christol-lès-Alès,30380,2023-12-27
9379513588,19248 Roscoe Blvd,AUBERVILLIERS,93300,2023-12-27
9379574258,2 rue Délizy,PANTIN,93500,2023-12-27
9379312120,52 Rue Deguingand,Levallois-Perret,92300,2023-12-27
9379746541,60 Avenue de Paris,Angerville,91670,2023-12-27
9377688007,54 Avenue du Général de Gaulle,Viry-Châtillon,91170,2023-12-27
9379410653,199 Boulevard de la République,Saint-Cloud,92210,2023-12-27
9379410376,521 Avenue du Général de Gaulle,Clamart,92140,2023-12-27
9380543177,20 Chemin des Demoiselles,SAINT MAUR DES FOSSES,94100,2023-12-27
