id,address,city,zip,created_at
9107846854,185 Rte de Cannes,Grasse,06130,2023-11-22
9107963362,3 Rue Nationale,Gisors,27140,2023-11-22
9107964617,RLE SEMICHON,Eu,76260,2023-11-22
9109227456,"2A bis, Rue Vaucanson",Aubenas,07200,2023-11-22
9105539310,1 Rue Chabanais,,75002,2023-11-22
9105337276,21 Place de la République,,75010,2023-11-22
9104971706,3 Rue des Cévennes,,20220,2023-11-22
9109108951,24 Avenue Gustave Delory,,59057,2023-11-22
9109108711,"Via delle Idrovore della Magliana, 57, 00148 Roma - Rm, IT",,78300,2023-11-22
9109015742,"Via Bergoncino, 85, 36025 Noventa Vicentina - Vicenza - Vi, IT",,59140,2023-11-22
9109107921,"Via Tiburtina Km 19.800, 00012 Guidonia Montecelio - Roma - Rm, IT",,00012,2023-11-22
9109235436,6 Rue Nicolas Joseph Cugnot,Clermont-Ferrand,63100,2023-11-22
9107845623,8 Avenue Cyrille Besset,Cagnes-sur-Mer,06800,2023-11-22
9107846124,2146 Av. du Maréchal Juin,Mougins,06250,2023-11-22
