id,address,city,zip,created_at
7122080469,Rue du Docteur Herpin,,37000,2023-03-01
7122102745,27 RUE DE CHARTRES,,92200,2023-03-01
7122080459,118 Route d'Espagne,Toulouse,31100,2023-03-01
7122016206,20 Rue de Saint-Pétersbourg,,75008,2023-03-01
7122111695,Rue des Cendres,,92500,2023-03-01
7122062547,1 Cité Paradis,,75010,2023-03-01
7122111697,1 Allée de la Ferme de Varâtre,Paris,77127,2023-03-01
7122016198,54 Rue de Paradis,,75010,2023-03-01
7122062549,1 Allée de la Ferme de Varâtre,Paris,77127,2023-03-01
7122133445,103 Rue La Fayette,,75010,2023-03-01
