id,address,city,zip,created_at
9330730698,38 AVENUE DU G?N?RAL LECLERC,,92350,2023-12-20
9332674517,70 Avenue Sergent Maginot,,10000,2023-12-20
9331705035,13 Chemin Gaillaguès,Toulouse,SN DIFFUSION,2023-12-20
9331315688,13 Chemin Gaillaguès,Carcassonne,11000,2023-12-20
9331315933,13 Chemin Gaillaguès,Saix,81710,2023-12-20
9331706072,13 Chemin Gaillaguès,Cahors,46000,2023-12-20
9331315406,13 Chemin Gaillaguès,Montauban,82000,2023-12-20
9331315449,13 Chemin Gaillaguès,Castelculier,47240,2023-12-20
9332358875,7 AV DE L EUROPE,La Montagne,44620,2023-12-20
9332169197,18 Rue d'Avelin,Vendeville,59175,2023-12-20
9332712145,34 Rue Jacques Prévert,Mérignac,33700,2023-12-20
9332712680,42 Rue Richard Perlinsky,MORVILLARS,90120,2023-12-20
9332769991,73 Rue du Thoron,Fréjus,83600,2023-12-20
9332168130,"4, rue Pierre Tourneville",Isles-lès-Villenoy,77450,2023-12-20
