id,address,city,zip,created_at
7601119181,3 ROUTE DES MARAIS,St Symphorien Le Valois,50250,2023-05-11
7601486522,1 Rue Saint-Jean,,67120,2023-05-11
7600186309,98 Rue Pomier Layrargues,,45130,2023-05-11
7601420481,94 Rue des Peupliers,,38070,2023-05-11
7601378036,24 Rue de Prony,,75017,2023-05-11
7601377507,2 Rue René Caudron,,78960,2023-05-11
7601399773,2 Rue Henri Poincaré,,93270,2023-05-11
7601399771,8 Rue Rouget de Lisle,,92130,2023-05-11
7601507047,1 Rue Pierre Brossolette,,92300,2023-05-11
7598635706,42 Rue Vignon,,75009,2023-05-11
7601548779,6 AV PIERRE SALVI,,95500,2023-05-11
7601506543,13 Avenue Paul Langevin,,92350,2023-05-11
7601548524,"77 ALLÉES DES GRANDES COMBES, ZI OUEST BEYNOST",,01700,2023-05-11
