id,address,city,zip,created_at
8814705887,92 Rue de Marseille,,69007,2023-10-24
8814743238,51 Avenue Maréchal Foch,,69006,2023-10-24
8814642146,45 Rue du Ruisseau,,38070,2023-10-24
8814745566,605 Rue Zone Industrielle La Plaine,,01580,2023-10-24
8813011175,447 route de chez robert,,73410,2023-10-24
8815529195,61 Rue Pierre Corneille,,69006,2023-10-24
8813265386,48 Rue de Salins,,25300,2023-10-24
8813230550,44 RUE DE GASCOGNE,,25200,2023-10-24
8813228787,166 Avenue de la Moineaudière,,84320,2023-10-24
8814573773,Route Nationale de Toulonà,,83330,2023-10-24
8813228744,25 Boulevard Ledru-Rollin,,13015,2023-10-24
8814619612,745 Boulevard des Ventadouiro,,13300,2023-10-24
8813346026,60 Rue de la Tramontane,,13090,2023-10-24
8814548949,283 Boulevard des Ferrières,,83490,2023-10-24
8814486765,41 CHE DU VIEUX PONT,,06130,2023-10-24
8814575314,9 Rue de la Carraire,,13770,2023-10-24
8813009620,12 Avenue de la Libération,,13200,2023-10-24
8814705895,8 Rue Jean-Jacques Vernazza,,13016,2023-10-24
8814576855,523 Boulevard Ernest Genevet,,13160,2023-10-24
